feature,coef,lower,upper
race_source_value_0,0.6051548625564758,0.5309917932619966,0.6780121246016536
race_source_value_1,0.6765536441278668,0.6402128787697503,0.7363721231189029
race_source_value_2,0.38381511034514304,0.35918541083425315,0.4004100106342354
race_source_value_3,0.46181742114082563,0.43401641707896355,0.494208321710826
race_source_value_4,0.23521440699918977,0.2129156992787004,0.2668120544020725
race_source_value_5,0.1627638165528979,0.13854012487317707,0.1848472386065222
ethnicity_source_value_0,0.09157476155645908,0.044573669583083814,0.11679238787954407
ethnicity_source_value_1,0.22881818219316138,0.21519861243563387,0.24792777053561416
agegrp_at_event_0,0.40139826386607325,0.34623725417627704,0.42295606847254785
agegrp_at_event_1,0.3264251845069825,0.28985302984310135,0.35727880130014555
agegrp_at_event_2,0.19823204004801015,0.18641370023442855,0.21772553587283758
agegrp_at_event_3,0.12699513965818204,0.11325181870479906,0.15557858394699975
agegrp_at_event_4,-0.0748115216917587,-0.09061451587188815,-0.0581068248977023
los7up_ind,2.163886340766397,2.1480058873277965,2.177581612666821
delivery_type_0,1.5103831814934752,1.489715915567611,1.5186319069993486
bed_size_0,-7.1722506649137845,-8.017004658291693,-6.418257227401827
bed_size_1,0.6450469122536068,0.5667447745614944,0.7236459199774263
bed_size_2,0.8358440725942292,0.7635786969537633,0.8756829904679646
bed_size_3,0.6096992639097953,0.5727179424045616,0.6439342810973736
bed_size_4,0.4027754361841378,0.3593068085414487,0.4222465823677505
bed_size_5,0.7272490422299555,0.705777251604886,0.7411650808876327
speciality_0,-1.6260502986772205,-2.0455763407446153,-1.5111083752468788
speciality_1,-1.4643197710516414,-1.5310778548398145,-1.3566035111502117
speciality_2,-0.3707687638761873,-0.3846568857952975,-0.35219792462493266
speciality_3,-0.9170413760874974,-0.9575481538708759,-0.8691513444211434
segment_ohe,0.5511147849396246,0.5024745659850207,0.5989660997409547
zip_code_region_0,-0.351244889573446,-0.3719626151326651,-0.3311428228963456
zip_code_region_1,0.043666973137051895,0.02845413957176455,0.06938633398339222
zip_code_region_2,0.07434320888875129,0.05905126028962307,0.09262108403605582
hist_PHT_ind,0.36961206154015896,0.214303991544463,0.5197534323069606
hist_PEC_ind,-0.08355271635562966,-0.15495556055141868,-0.03275213436316583
hist_GHT_ind,0.22961058913363908,0.20351010367530598,0.2603587075592917
hist_PAS_ind,2.3272559010668936,2.239047070677758,2.3967908281814037
hist_CKD_ind,0.2458584227899142,0.17319876573513224,0.31137723001876005
hist_HD_ind,0.3216505642476619,0.278082815046204,0.37474379176793937
hist_HIV_ind,-0.18271982988873658,-0.44971777994755935,0.001223911756733493
hist_PA_ind,0.25365369925474535,0.15182818650602292,0.3109264371126761
hist_CD_ind,0.617447377837385,0.5523211206509284,0.6634098367009924
hist_ANEM_ind,0.29225195735215015,0.2677378275835736,0.31955056880973104
hist_MULTIPG_ind,0.5980702634709981,0.5486263816498453,0.6157577853767581
hist_PP_ind,1.0087337867053001,0.9649566394572924,1.0471141904767653
hist_NMD_ind,1.0120559444188113,0.42760296128689546,1.0850751998672825
hist_ASTH_ind,0.031005930200958216,-0.010796119002196862,0.056013707542111046
hist_AID_ind,0.269917854392576,0.18357317926686156,0.35483393841551447
hist_UF_ind,0.3559799781951227,0.3286796171783374,0.3909846532256827
hist_GID_ind,-0.023926894534219423,-0.05047273138526101,0.0037794190237373697
hist_CH_ind,0.021506140786490574,-0.00538638320115758,0.04850804781434814
hist_PD_ind,-0.04121401026440998,-0.06415734306508197,-0.02301947833496564
hist_DM_ind,0.15402008067753978,0.12681231152721434,0.18503330809488605
hist_THYRO_ind,-0.13956350470269102,-0.23706799252672284,-0.06454940903012246
hist_CSEC_ind,-0.2719437096310155,-0.31034573329803056,-0.2405846432257146
hist_GDM_ind,-0.11160233447119086,-0.13200190305573256,-0.09401628915238985
hist_IHD_ind,-0.02290851442060861,-0.1271387220035905,0.1104496087025198
hist_ARRY_ind,-0.21040808314682838,-0.2812070481646622,-0.15374602873641124
hist_CHF_ind,0.4629444726680704,0.27068145676790106,0.6157640241496363
hist_CHD_ind,-0.26030477148573405,-0.306058173012127,-0.18513970036311864
hist_RA_ind,-0.16727602679218284,-0.3397183161428502,-0.10390820955038384
hist_PVD_ind,0.4095012794848008,0.29934476812637223,0.4818421802188102
hist_EPI_ind,-0.588482697005795,-0.7037121792222819,-0.03975977165961568
hist_CVD_ind,0.08000168230048922,-0.05706092584495362,0.15008085433838964
hist_SCD_ind,0.6127833168178901,0.5508386466106949,0.6749594169205255
hist_SUD_ind,0.13113283935884157,0.10856815377828388,0.16422157908106577
hist_AUD_ind,0.1794276638298214,0.11520243748067252,0.24425514664652917
hist_COVID_ind,0.25504129861247904,0.19714386224113156,0.29147843507450744
